slide_name,specimen_name,date_slide_prepped,preparator,slide_type,arthropod_cuticle?,branchiopod_cuticle?,clamShrimp_cuticle?,plant-algal_cuticle?,other?,Morphotype,Preservation,Description/notes,no_specimens,Imaged,sample_name,Mass (g),Mesh,HF_date,Water_ date,Collection_date,acid_time,rinse_time,Inspection complete?,Notes_pre-maceration,Notes_duringmaceration,Notes_post-maceration,Notes_microscopeobservations,rock_name,base  from lower SS (cm),top from lower SS (cm),date_collected,collector,field_notes,locality_name,microsite_name,lat,long,rock_unit,site_notes
CSA-68,CSA-68,11/17/23,Tanner Frank ,specimen,x,,,,,Ap,2,small arthropod segments with very long setal spines,1,no scale bar!,CSA-21-F,3.99,105µm?,8/31/21,9/8/21,9/15/21,8,7,0,OK liverworts,not fully dissolved so had to resumberge in acid. Didn't really help :P,"clumpy, small flakes",0,"6.16,17.21-CSA-1",NA,NA,6/16/2021-6/17/2021,NA,"many loose fragments, complete liverworts on one side",Cairo Quarry,CS_A,42.31949,-74.04771,Plattekill Fm.,=Ms 1; detailed measurements and sampling of section 2021
ST-1,ST-1a,NA,NA,specimen,x,x,x,,,Va1,3,mostly complete clam shrimp,1,x,CLST_1,4.37,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""cool articulated ostracods and thalli"", very flaky, shiny, clear surface liverworts, ostracods, spinicaudatans",0,left a little longer because it was too acidic; lots of large flakes of organic material,"VERY nice and large liverworts, lots of good organic material. sediment clumps. sac/disc things. Intact ostracod valves?(impression). Clusters. 2 spinicaudatan pieces, including a particularly small one.; almost complete spini, **pentagon ",CLST_1,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-1,ST-1b,NA,NA,specimen,x,x,x,,,Va1,2,clam shrimp piece obscured by bubble,1,x,CLST_1,4.37,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""cool articulated ostracods and thalli"", very flaky, shiny, clear surface liverworts, ostracods, spinicaudatans",0,left a little longer because it was too acidic; lots of large flakes of organic material,"VERY nice and large liverworts, lots of good organic material. sediment clumps. sac/disc things. Intact ostracod valves?(impression). Clusters. 2 spinicaudatan pieces, including a particularly small one.; almost complete spini, **pentagon ",CLST_1,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-1,ST-1c,NA,NA,specimen,x,x,x,,,Va2,2,clam shrimp piece obscured by string,1,x,CLST_1,4.37,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""cool articulated ostracods and thalli"", very flaky, shiny, clear surface liverworts, ostracods, spinicaudatans",0,left a little longer because it was too acidic; lots of large flakes of organic material,"VERY nice and large liverworts, lots of good organic material. sediment clumps. sac/disc things. Intact ostracod valves?(impression). Clusters. 2 spinicaudatan pieces, including a particularly small one.; almost complete spini, **pentagon ",CLST_1,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-7,ST-7a,4/18/22,Layla Chapeta,specimen,,,,x,,NoH1,2,mostly complete hexagonal node,1,x,CLST_L11-1,4.16,150µm,4/26/21,4/30/21,5/6/21,4,6,0,"lots of large surface plant textures on top, none/almost none on bottom; ostracods on both sides, fewer and larger ones on top","post transfer to rinse, there were some small clumps/rocks but mostly dissolved",0,0,CLST_L11,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-7,ST-7b,4/18/22,Layla Chapeta,specimen,,,,x,,NoH1,2,mostly complete hexagonal node,1,x,CLST_L11-1,4.16,150µm,4/26/21,4/30/21,5/6/21,4,6,0,"lots of large surface plant textures on top, none/almost none on bottom; ostracods on both sides, fewer and larger ones on top","post transfer to rinse, there were some small clumps/rocks but mostly dissolved",0,0,CLST_L11,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-13,ST-13a,7/18/22,Tanner Frank,specimen,,,,,x,OrR1,NA,~6 connected orbs,1,x,CLST_L13-1,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-13,ST-13b,7/18/22,Tanner Frank,specimen,,,,,x,OrR3,NA,4 connected circles,1,x,CLST_L13-1,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-13,ST-13c,7/18/22,Tanner Frank,specimen,,,,,,OrR1,NA,orb with central slits forming X shape,1,x,CLST_L13-1,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-13,ST-13d,7/18/22,Tanner Frank,specimen,x,x,,,,TrP1,3,~4-5 tergopleurae with compressed shape,1,x,CLST_L13-1,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
