slide_name,specimen_name,date_slide_prepped,preparator,slide_type,arthropod_cuticle.,branchiopod_cuticle.,clamShrimp_cuticle.,plant.algal_cuticle.,other.,Morpho1,Morpho2,Morpho3,Preservation,strat_height,Description.notes,no_specimens,Imaged,sample_name,Mass..g.,Mesh,HF_date,Water_.date,Collection_date,acid_time,rinse_time,Inspection.complete.,Notes_pre.maceration,Notes_duringmaceration,Notes_post.maceration,Notes_microscopeobservations,rock_name,base..from.lower.SS..cm.,top.from.lower.SS..cm.,date_collected,collector,field_notes,locality_name,microsite_name,lat,long,rock_unit,site_notes
ST-1,ST-1a,NA,NA,specimen,x,x,x,,,Va,Va1,Va1,3,NA,mostly complete clam shrimp,1,x,CLST_1,4.37,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""cool articulated ostracods and thalli"", very flaky, shiny, clear surface liverworts, ostracods, spinicaudatans",0,left a little longer because it was too acidic; lots of large flakes of organic material,"VERY nice and large liverworts, lots of good organic material. sediment clumps. sac/disc things. Intact ostracod valves?(impression). Clusters. 2 spinicaudatan pieces, including a particularly small one.; almost complete spini, **pentagon ",CLST_1,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-1,ST-1b,NA,NA,specimen,x,x,x,,,Va,Va1,Va1,2,NA,clam shrimp piece obscured by bubble,1,x,CLST_1,4.37,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""cool articulated ostracods and thalli"", very flaky, shiny, clear surface liverworts, ostracods, spinicaudatans",0,left a little longer because it was too acidic; lots of large flakes of organic material,"VERY nice and large liverworts, lots of good organic material. sediment clumps. sac/disc things. Intact ostracod valves?(impression). Clusters. 2 spinicaudatan pieces, including a particularly small one.; almost complete spini, **pentagon ",CLST_1,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-1,ST-1c,NA,NA,specimen,x,x,x,,,Va,Va2,Va2,2,NA,clam shrimp piece obscured by string,1,x,CLST_1,4.37,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""cool articulated ostracods and thalli"", very flaky, shiny, clear surface liverworts, ostracods, spinicaudatans",0,left a little longer because it was too acidic; lots of large flakes of organic material,"VERY nice and large liverworts, lots of good organic material. sediment clumps. sac/disc things. Intact ostracod valves?(impression). Clusters. 2 spinicaudatan pieces, including a particularly small one.; almost complete spini, **pentagon ",CLST_1,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-9,ST-9,4/18/22,Layla Chapeta,specimen,,,,x,,Ph,PhL,PhL,NA,NA,liverwort herbivory?,1,NA,CLST_10,5.32,150µm,4/26/21,4/30/21,5/6/21,4,6,0,"lots of large surface plant textures on top, none/almost none on bottom; ostracods on both sides, fewer and larger ones on top","post transfer to rinse, there were some small clumps/rocks but mostly dissolved",moresmall flakes and sediment than CLST_L11-1,"enditic setae*; cuticle, nice flakes, part of sporangia plant?**, 3d plant charcoal*, clusters*, algal segment*, algal node*",CLST_L10,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-7,ST-7a,4/18/22,Layla Chapeta,specimen,,,,x,,No,NoH,NoH1,2,NA,mostly complete hexagonal node,1,x,CLST_11,4.16,150µm,4/26/21,4/30/21,5/6/21,4,6,0,"lots of large surface plant textures on top, none/almost none on bottom; ostracods on both sides, fewer and larger ones on top","post transfer to rinse, there were some small clumps/rocks but mostly dissolved",0,0,CLST_L11,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-7,ST-7b,4/18/22,Layla Chapeta,specimen,,,,x,,No,NoH,NoH1,2,NA,mostly complete hexagonal node,1,x,CLST_11,4.16,150µm,4/26/21,4/30/21,5/6/21,4,6,0,"lots of large surface plant textures on top, none/almost none on bottom; ostracods on both sides, fewer and larger ones on top","post transfer to rinse, there were some small clumps/rocks but mostly dissolved",0,0,CLST_L11,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-7,ST-7c,4/18/22,Layla Chapeta,specimen,,,,x,,No,No,No,NA,NA,orb? Algal node? Arthropod? Sem-circular structure,1,x (needs better photo),CLST_11,4.16,150µm,4/26/21,4/30/21,5/6/21,4,6,0,"lots of large surface plant textures on top, none/almost none on bottom; ostracods on both sides, fewer and larger ones on top","post transfer to rinse, there were some small clumps/rocks but mostly dissolved",0,0,CLST_L11,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-13,ST-13a,7/18/22,Tanner Frank,specimen,,,,,x,Or,OrR,OrR1,NA,NA,~6 connected orbs,1,x,CLST_13,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-13,ST-13b,7/18/22,Tanner Frank,specimen,,,,,x,Or,OrR,OrR3,NA,NA,4 connected circles,1,x,CLST_13,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-13,ST-13c,7/18/22,Tanner Frank,specimen,,,,,,Or,OrR,OrR1,NA,NA,orb with central slits forming X shape,1,x,CLST_13,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
