rock_name,Ap,Ap?,ApB,ApT,ApW,Br,BrA,BrF,BrM,No,NoC,NoH,Or,Or?,OrF,OrR,OrS,Ph,PhI,PhL,PhS,Sp,SpS,SpT,Tr,Tr?,TrA,TrC,TrP,TrS,U,Va,Va?,Va1,Va2,Va3,Va4,Va6
6.15.21-CSD-2 +  6.28.2021-CSD-18,4,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,6,0,0,0,0,3,0,0,1,0,0,1,0,0,0,2,0,0,0
6.17.2021-CSD-4,1,0,1,2,0,0,0,10,2,0,0,1,1,0,2,1,0,1,0,3,0,0,0,0,2,0,0,1,1,0,0,0,0,0,3,0,1,0
6.27.22-CSD-3,11,0,5,11,3,1,1,0,7,1,8,3,1,0,15,15,0,1,0,7,0,1,0,6,3,0,4,0,3,0,3,4,0,0,1,2,0,0
6.28.2021-CSD-15,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,2,0,0,0,0,0,0
6.28.2021-CSD-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
6.28.2021-CSD-17,2,0,9,9,3,0,0,0,0,0,0,0,1,0,0,21,2,0,0,2,0,0,2,2,1,0,0,2,0,0,1,0,1,4,7,0,0,0
6.28.2021-CSD-21,1,0,5,5,1,0,3,1,0,1,3,4,1,0,20,12,1,0,0,1,0,1,0,0,1,1,3,0,6,0,7,7,0,1,3,5,0,0
6.28.2021-CSD-23,0,0,1,3,0,0,0,0,1,0,1,2,1,0,2,1,0,0,0,1,0,0,1,2,2,0,0,0,0,0,4,1,0,1,0,0,0,0
6.28.2021-CSD-9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
6.28.22-CSD-1,13,1,42,25,14,0,0,1,0,0,1,1,1,0,3,15,0,0,0,7,0,2,3,8,3,0,0,3,0,0,7,0,0,1,1,1,9,0
6.29.22-CSD-10,5,0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,3,0
6.29.22-CSD-4,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0
7.2.2021-CSA-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
