rock_name,Ap,Ap?,ApB,ApT,ApW,Br,BrA,BrF,BrM,No,NoC,NoH,Or,Or?,OrF,OrR,OrS,Ph,PhI,PhL,PhS,Sp,SpS,SpT,Tr,Tr?,TrA,TrC,TrP,TrS,U,Va,Va?,Va1,Va2,Va3,Va4,Va6
6.15.21-CSD-2,0,0,0.034482758620689655,0.06896551724137931,0.034482758620689655,0,0.034482758620689655,0,0.06896551724137931,0.034482758620689655,0,0.06896551724137931,0,0.034482758620689655,0.1724137931034483,0.13793103448275862,0,0,0,0.034482758620689655,0,0,0,0,0.034482758620689655,0,0.034482758620689655,0,0.13793103448275862,0,0.034482758620689655,0.034482758620689655,0,0,0,0,0,0
6.15.21-CSD-2 +  6.28.2021-CSD-18,0.16666666666666666,0,0,0.041666666666666664,0,0,0,0,0,0,0.041666666666666664,0,0,0,0.20833333333333334,0,0,0,0,0.25,0,0,0,0,0.125,0,0,0.041666666666666664,0,0,0.041666666666666664,0,0,0,0.08333333333333333,0,0,0
"6.16,17.21-CSA-1",0.0782608695652174,0.008695652173913044,0.23478260869565218,0.1826086956521739,0.034782608695652174,0.008695652173913044,0.008695652173913044,0.008695652173913044,0,0.008695652173913044,0.017391304347826087,0,0,0,0.02608695652173913,0.06086956521739131,0.043478260869565216,0.017391304347826087,0,0.008695652173913044,0,0,0,0.043478260869565216,0.06086956521739131,0,0.017391304347826087,0,0.008695652173913044,0.008695652173913044,0.043478260869565216,0.034782608695652174,0,0.008695652173913044,0.02608695652173913,0,0,0
6.16.21-CSC-2,0,0,0,0.13157894736842105,0,0,0.02631578947368421,0,0,0,0.02631578947368421,0.02631578947368421,0,0,0,0.2894736842105263,0.10526315789473684,0,0,0.05263157894736842,0,0,0,0,0.15789473684210525,0,0.05263157894736842,0,0.07894736842105263,0,0,0.02631578947368421,0,0.05263157894736842,0,0,0,0
6.16.21-CSC-4,0.029411764705882353,0,0,0.029411764705882353,0.029411764705882353,0,0,0,0,0,0.029411764705882353,0,0,0,0,0.47058823529411764,0.058823529411764705,0,0,0.029411764705882353,0,0,0,0,0,0,0.029411764705882353,0,0,0,0.08823529411764706,0,0.029411764705882353,0.08823529411764706,0.058823529411764705,0,0,0.029411764705882353
6.16.21-CSJ-2,0,0,0,0,0,0.05,0.025,0.1,0,0.05,0.025,0,0.075,0,0,0.4,0,0.025,0.05,0,0.075,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0
6.17.2021-CSD-4,0.030303030303030304,0,0.030303030303030304,0.06060606060606061,0,0,0,0.30303030303030304,0.06060606060606061,0,0,0.030303030303030304,0.030303030303030304,0,0.06060606060606061,0.030303030303030304,0,0.030303030303030304,0,0.09090909090909091,0,0,0,0,0.06060606060606061,0,0,0.030303030303030304,0.030303030303030304,0,0,0,0,0,0.09090909090909091,0,0.030303030303030304,0
6.17.21-CSA-1,0.11764705882352941,0,0.058823529411764705,0.14705882352941177,0,0,0.029411764705882353,0,0,0,0,0,0,0,0,0.029411764705882353,0.029411764705882353,0,0,0,0,0.029411764705882353,0,0.08823529411764706,0.029411764705882353,0,0.058823529411764705,0,0.029411764705882353,0,0.08823529411764706,0.14705882352941177,0,0,0,0.08823529411764706,0.029411764705882353,0
6.17.21-CSA-3,0,0,0.14285714285714285,0.14285714285714285,0,0,0,0.07142857142857142,0,0.14285714285714285,0,0.07142857142857142,0,0,0.07142857142857142,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857142857142,0,0,0.07142857142857142,0.07142857142857142,0,0
6.27.22-CSD-3,0.09016393442622951,0,0.040983606557377046,0.10655737704918032,0.03278688524590164,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.05737704918032787,0.00819672131147541,0.06557377049180328,0.02459016393442623,0.00819672131147541,0,0.12295081967213115,0.12295081967213115,0,0.00819672131147541,0,0.05737704918032787,0,0.00819672131147541,0,0.04918032786885246,0.02459016393442623,0,0.03278688524590164,0,0.02459016393442623,0,0.02459016393442623,0.03278688524590164,0,0,0.01639344262295082,0.01639344262295082,0,0
6.28.2021-CSD-15,0,0,0,0.09090909090909091,0,0,0.18181818181818182,0,0,0,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2727272727272727,0,0,0,0.09090909090909091,0.09090909090909091,0,0.18181818181818182,0,0,0,0,0,0
