slide_name,specimen_name,date_slide_prepped,preparator,slide_type,arthropod_cuticle.,branchiopod_cuticle.,clamShrimp_cuticle.,plant.algal_cuticle.,other.,Morpho1,Morpho3,Preservation,strat_height,Description.notes,Imaged,sample_name,Mass..g.,Mesh,HF_date,Water_.date,Collection_date,acid_time,rinse_time,Inspection.complete.,Notes_pre.maceration,Notes_duringmaceration,Notes_post.maceration,Notes_microscopeobservations,rock_name,base..from.lower.SS..cm.,top.from.lower.SS..cm.,date_collected,collector,field_notes,locality_name,microsite_name,lat,long,rock_unit,site_notes,Va1,Va2,PhL,NoH,No,OrR,TrP,OrS,ApT,Va,Tr,BrF,NoC,TrA,ApW,BrA,U,ApB,Ap,Va3,Sp,OrF,Ph,TrS,SpT,Ap?,Br,Va4,Va6,Va?,Or?,BrM,Or,Tr?,TrC,SpS,PhI,PhS
CSA-55,CSA-55,9/14/23,Jamie Hernandez,specimen,x,,,,,U,U,NA,76.5,small interesting arthropod bit; collected jamie 8/17/23,NA,CSA-21-H,5.32,105µm,10/26/21,11/1/21,11/5/21,6,4,0,"liverworts, concho, ostracods","clumpy, lots of sediment, small flakes",0,0,7.2.2021-CSA-22,76.5*,NA,7/2/21,Tanner Frank,fragments from just below middle l.w. chunk,Cairo Quarry,CS_A,42.31949,-74.04771,Plattekill Fm.,=Ms 1; detailed measurements and sampling of section 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-183,CSD-183,2/13/23,Liuliu Gould,specimen,x,,,,,Ap,ApT1,NA,67,arthropod limb shaft with socket,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-184,CSD-184a,2/13/23,Liuliu Gould,specimen,,,,,x,Or,OrR2,NA,67,7 orb cluster,x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-184,CSD-184b,2/13/23,Liuliu Gould,specimen,,,,,x,Or,OrR,NA,67,3 orb cluster,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-195,CSD-195,2/22/23,Jamie Hernandez,specimen,,,,,x,Or,OrR1,NA,67,cluster of 4,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-20,CSD-20a,NA,NA,specimen,,,,,x,Or,OrF1,NA,67,Frisbeekite discs,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-20,CSD-20b,NA,NA,specimen,,,,,x,Or,OrF1,NA,67,Frisbeekite discs,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-21,CSD-21,NA,NA,specimen,x,x,,,,Tr,TrP1,3,67,tergopleurae,x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-22,CSD-22,NA,NA,specimen,,,,,x,Or,OrS1,1,67,sac structure (football shape),x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-23,CSD-23,NA,NA,specimen,,,,,x,Or,OrR3,NA,67,clusters of circles (cells?),NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
